ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
37,Harpadon nehereus,SP,"IJF, 36(2) 1989, Khan",HARPADONTIDAE,0501,Saurashtra,NW,1979,1984,Dolnet,11.2,4,C,0.761,3,1.572,1.212,2.784,0,0.4353448,2,0,0,0,0,0,0,0,878400,6,0,0,0,0,0,22,425.5,4,0,0,0.05170387779,6,0,0,230,0.5405405405,6,"Feb,Mar,Jun-Oct",7,3,63.01,4,3.7,3,7,3,298.6,4,4,52
37,Harpadon nehereus,SP,"Ghosh et al., 2009, IJF 56(3): 13 - 19",HARPADONTIDAE,0501,Saurashtra,NW,2003,2006,Dolnet,11.2,4,C,0.86,3,1.52,1.73,3.25,0,0.5323077,3,0,0,0,0,0,89600,878400,878400,6,0,0,0,9,344,9,353.9,5,0,0,0.02543091269,6,0,0,202,0.570782707,5,JAN-DEC,12,1,63.01,4,3.7,3,7,3,298.6,4,4,51
37,Harpadon nehereus,SP,CMFRI annual report 2008-2009,HARPADONTIDAE,0501,Veravel,NW,2007,2008,Dolnet,11.2,4,C,0.45,2,0.98,1.22,2.2,0,0.5545455,3,0,0,0,0,0,0,0,878400,6,0,0,213,0,0,9,370.1,5,0,0,0.02431775196,6,0,0,232,0.6268576061,4,"Feb,Mar,Jun-Oct",7,3,63.01,4,3.7,3,7,3,298.6,4,4,51
37,Harpadon nehereus,SP,CMFRI annual report 2008-2009,HARPADONTIDAE,0501,"Nawabunder,Rajpara,Jaffrabad",NW,2007,2008,Dolnet,11.2,4,C,0.45,2,0.98,1.22,2.2,0,0.5545455,3,0,0,0,0,0,0,0,878400,6,0,0,0,7,,45,370.1,5,0,0,0.1215887598,6,0,0,232,0.6268576061,4,"Feb-March & June-oct,bimodal",7,3,63.01,4,3.7,3,7,3,298.6,4,4,51
37,Harpadon nehereus,SP,"IJF1986,33(3), Khan",HARPADONTIDAE,0501,Gujarat,NW,1976,1979,Dolnet,11.2,4,C,0.761,3,1.575,1.355,2.93,0,0.4624573,2,0,0,0,0,0,14600,878400,878400,6,0,0,0,0,0,52,367,5,0,,0.1416893733,6,0,0,232,0.6321525886,4,"Feb,Mar,Jun-Oct",7,3,63.01,4,3.7,3,7,3,298.6,4,4,51
37,Harpadon nehereus,SP,"IJF 1996,43(1), Fernades and Devaraj",HARPADONTIDAE,0501,Gujarat,NW,1947,1986,Dolnet,11.2,4,C,0.55,2,1.05,2,3.05,0,0.6557377,4,0,0,0,0,0,14600,878400,878400,6,0,0,0,0,0,20,610,3,0,0,0.03278688525,6,0,0,232,0.3803278689,4,"Feb,Mar,Jun-Oct",7,3,63.01,4,3.7,3,7,3,298.6,4,4,50
37,Harpadon nehereus,SP,"IJF1992,39(3,4) Kurian et al",HARPADONTIDAE,0501,Maharashtra,NW,1982,1986,Dolnet,11.2,4,C,0.52,2,0.55,0.89,1.44,0,0.6180555,4,0,0,0,0,0,15000,110000,110000,5,0,0,0,0,0,15,426,4,0,0,0.03521126761,6,0,0,230,0.5399061033,6,"apr,jun,jul,sep,oct",5,4,63.01,4,3.7,3,7,3,298.6,4,4,53
37,Harpadon nehereus,SP,"IJF1992,39(3,4), Khan et al",HARPADONTIDAE,0501,Saurashtra,NW,1980,1984,Dolnet,11.2,4,C,0.749,3,1.53,1.009,2.547,0,0.3961523,1,0,0,0,0,0,17075,79631,79631,4,0,0,0,330,330,45,410,4,0,0,0.1097560976,6,,,232,0.5658536585,5,"Dec,Jan,Jun",3,5,63.01,4,3.7,3,7,3,298.6,4,4,50
34,Tachysurus dussumieri,LD,JMBA1990,ARIIDAE,0547,Kerala,SW,1979,1984,"Trawlnet,Driftnet",14.6,5,C,0.1203,1,0.18,1.23,1.41,0,0.8723404,6,,,,,,108,165,165,1,,,,,,0,1206,1,,,0,0,,,580,0.4809286899,6,DEC-MAR,4,5,68,5,3.44,4,4.347826087,2,662.8,6,4,46
34,Tachysurus dussumieri,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0547,Waltair,SE,1974,1976,TRAWL,14.6,5,C,0.25,1,0.22,0,0,0,0,0,0,0,0,0,0,108,165,165,1,0,0,0,0,0,0,850,2,0,0,0,0,0,0,580,0.6823529412,3,MAR-JUL,5,4,68,5,3.44,4,4.347826087,2,81.5,1,4,32
34,Tachysurus dussumieri,LD,"Bull.40 CMFRI, 1987",ARIIDAE,0547,Cochin,SW,1981,1981,"TRAWL,PS, GILLNET",14.6,5,C,0.25,1,0.22,0,0,0,0,0,0,0,0,0,0,108,165,165,1,0,0,0,0,0,0,850,2,0,0,0,0,0,0,580,0.6823529412,3,DEC-MAR,4,5,68,5,3.44,4,4.347826087,2,662.8,6,4,38
